Lat,Lon,Year,Month,Day,Hour,Minutes,Seconds
35.3993,5.8478,2023,December,12,14,52,21
35.3993,5.8478,2023,December,12,14,52,23
35.3993,5.8478,2023,December,12,14,52,26
35.3993,5.8478,2023,December,12,14,52,28
35.3993,5.8478,2023,December,12,14,52,30
35.3993,5.8478,2023,December,12,14,52,33
35.3993,5.8478,2023,December,12,14,52,35
35.3993,5.8478,2023,December,12,14,52,37
35.3993,5.8478,2023,December,12,14,52,40
35.3993,5.8478,2023,December,12,14,52,42
35.3993,5.8478,2023,December,12,14,52,44
35.3993,5.8478,2023,December,12,14,52,47
35.3993,5.8478,2023,December,12,14,52,49
35.3993,5.8478,2023,December,12,14,52,51
35.3993,5.8478,2023,December,12,14,52,54
35.3993,5.8478,2023,December,12,14,52,56
35.3993,5.8478,2023,December,12,14,52,58
35.3993,5.8478,2023,December,12,14,53,1
35.3993,5.8478,2023,December,12,14,53,3
35.3993,5.8478,2023,December,12,14,53,5
35.3993,5.8478,2023,December,12,14,53,8
35.3993,5.8478,2023,December,12,14,53,10
35.3993,5.8478,2023,December,12,14,53,12
35.3993,5.8478,2023,December,12,14,53,15
35.3993,5.8478,2023,December,12,14,53,17
35.3993,5.8478,2023,December,12,14,53,19
35.3993,5.8478,2023,December,12,14,53,22
35.3993,5.8478,2023,December,12,14,53,24
35.3993,5.8478,2023,December,12,14,53,26
35.3993,5.8478,2023,December,12,14,53,28
35.3993,5.8478,2023,December,12,14,53,31
35.3993,5.8478,2023,December,12,14,53,33
35.3993,5.8478,2023,December,12,14,53,35
35.3993,5.8478,2023,December,12,14,53,38
35.3993,5.8478,2023,December,12,14,53,40
35.3993,5.8478,2023,December,12,14,53,42
35.3993,5.8478,2023,December,12,14,53,45
35.3993,5.8478,2023,December,12,14,53,47
35.3993,5.8478,2023,December,12,14,53,49
35.3993,5.8478,2023,December,12,14,53,52
35.3993,5.8478,2023,December,12,14,53,54
35.3993,5.8478,2023,December,12,14,53,56
35.3993,5.8478,2023,December,12,14,53,59
35.3993,5.8478,2023,December,12,14,54,1
35.3993,5.8478,2023,December,12,14,54,3
35.3993,5.8478,2023,December,12,14,54,6
35.3993,5.8478,2023,December,12,14,54,8
35.3993,5.8478,2023,December,12,14,54,10
35.3993,5.8478,2023,December,12,14,54,13
35.3993,5.8478,2023,December,12,14,54,15
